item_id,item_name,item_type,parent_id,quantity,lead_time,cost,supplier,inventory,min_stock,assembly_time,distributor,transport_method,transport_cost,transport_time,timestamp
RM001,Raw_material RM001,raw_material,CP002,3,4,1923,Supplier_008,89,1,23,Distributor_003,Air Freight,7290,9,2011-07-23 09:21:03
CP003,Component CP003,component,SS009,2,27,178815,Supplier_012,21,3,27,Distributor_002,Air Freight,4205,14,2012-12-26 15:44:23
SC008,Subcomponent SC008,subcomponent,CP003,2,8,26062,Supplier_001,18,5,60,Distributor_008,Air Freight,3240,20,2020-06-25 20:34:11
SS013,Subsystem SS013,subsystem,SY007,4,47,1348557,Supplier_029,9,3,25,Distributor_013,Rail,883,11,2019-05-28 06:49:06
CP016,Component CP016,component,SS013,3,25,135763,Supplier_005,14,5,39,Distributor_005,Sea Freight,9069,5,2017-11-04 10:04:02
SC016,Subcomponent SC016,subcomponent,CP016,2,20,34716,Supplier_044,30,2,53,Distributor_009,Sea Freight,3954,27,2019-10-31 14:52:06
SY016,System SY016,system,FP004,4,111,5118464,Supplier_044,3,5,16,Distributor_006,Truck,3766,12,2019-11-23 09:57:19
SS011,Subsystem SS011,subsystem,SY018,1,49,772482,Supplier_020,5,5,67,Distributor_004,Air Freight,1350,23,2019-04-06 03:32:30
CP006,Component CP006,component,SS005,5,32,215436,Supplier_004,28,4,67,Distributor_010,Sea Freight,714,2,2016-09-25 19:59:31
SC008,Subcomponent SC008,subcomponent,CP003,3,15,5953,Supplier_011,42,1,30,Distributor_005,Air Freight,6101,6,2019-01-27 10:37:55
SC018,Subcomponent SC018,subcomponent,CP006,2,16,55587,Supplier_038,58,2,41,Distributor_006,Air Freight,9088,12,2010-04-04 22:41:50
RM008,Raw_material RM008,raw_material,CP006,4,3,3150,Supplier_043,76,1,62,Distributor_003,Truck,4358,17,2012-01-21 18:32:10
CP013,Component CP013,component,SS011,1,20,268263,Supplier_015,21,5,46,Distributor_001,Truck,4833,17,2016-12-12 12:14:38
SC014,Subcomponent SC014,subcomponent,CP013,3,14,29628,Supplier_033,44,5,51,Distributor_003,Truck,2869,22,2011-12-02 18:42:35
SS016,Subsystem SS016,subsystem,SY016,5,31,1491574,Supplier_041,12,3,13,Distributor_007,Truck,8104,6,2017-12-14 10:36:25
CP001,Component CP001,component,SS016,1,36,419721,Supplier_024,10,4,63,Distributor_001,Truck,1859,1,2012-10-23 17:30:10
SC006,Subcomponent SC006,subcomponent,CP001,3,18,43480,Supplier_018,24,4,3,Distributor_008,Sea Freight,4676,28,2018-08-27 03:48:11
SY016,System SY016,system,FP002,3,121,6421037,Supplier_023,10,5,1,Distributor_005,Truck,9392,9,2015-03-25 04:18:28
SS018,Subsystem SS018,subsystem,SY010,3,76,566654,Supplier_011,9,5,18,Distributor_010,Truck,8836,3,2013-01-04 17:28:59
CP002,Component CP002,component,SS002,5,30,44385,Supplier_026,20,4,69,Distributor_013,Air Freight,5057,21,2020-05-15 05:39:41
SC004,Subcomponent SC004,subcomponent,CP018,3,7,26898,Supplier_040,33,3,38,Distributor_014,Truck,7900,27,2016-11-28 04:00:28
RM011,Raw_material RM011,raw_material,CP018,2,3,2025,Supplier_015,94,4,33,Distributor_010,Rail,3292,17,2011-05-20 12:57:33
SC008,Subcomponent SC008,subcomponent,CP014,2,18,9136,Supplier_029,40,4,62,Distributor_010,Rail,8837,21,2020-09-17 11:14:26
SC006,Subcomponent SC006,subcomponent,CP002,3,17,34936,Supplier_013,20,1,69,Distributor_011,Air Freight,5431,14,2020-11-05 07:07:52
CP009,Component CP009,component,SS007,5,42,258190,Supplier_021,17,2,63,Distributor_012,Air Freight,6255,24,2014-12-04 14:01:47
SC014,Subcomponent SC014,subcomponent,CP020,1,9,4804,Supplier_013,21,1,9,Distributor_013,Sea Freight,2559,23,2021-04-12 22:29:24
SC006,Subcomponent SC006,subcomponent,CP009,4,9,42970,Supplier_018,39,1,35,Distributor_004,Truck,8576,24,2021-12-11 11:09:33
CP003,Component CP003,component,SS018,3,38,265195,Supplier_033,13,1,14,Distributor_001,Sea Freight,8319,24,2015-12-27 07:20:09
SC017,Subcomponent SC017,subcomponent,CP003,4,19,21760,Supplier_019,37,3,12,Distributor_014,Sea Freight,5840,20,2012-07-30 04:58:08
SS004,Subsystem SS004,subsystem,SY001,4,65,702944,Supplier_020,6,2,45,Distributor_008,Sea Freight,5491,18,2017-10-26 03:57:49
CP012,Component CP012,component,SS003,5,28,268217,Supplier_001,14,1,58,Distributor_004,Rail,1528,16,2014-04-15 23:07:03
SC015,Subcomponent SC015,subcomponent,CP003,4,13,33271,Supplier_026,37,5,36,Distributor_013,Sea Freight,9378,4,2019-09-07 16:50:39
SC009,Subcomponent SC009,subcomponent,CP012,4,13,32955,Supplier_031,36,5,38,Distributor_011,Truck,7705,9,2017-05-16 14:26:23
CP005,Component CP005,component,SS004,4,28,246399,Supplier_025,10,2,51,Distributor_011,Air Freight,2837,16,2014-12-02 11:20:38
SC004,Subcomponent SC004,subcomponent,CP005,4,13,13811,Supplier_026,36,4,28,Distributor_004,Truck,293,23,2020-09-25 10:51:51
SS006,Subsystem SS006,subsystem,SY016,1,32,838265,Supplier_035,13,5,42,Distributor_005,Sea Freight,617,17,2013-11-27 08:37:16
CP004,Component CP004,component,SS006,5,15,365697,Supplier_019,32,2,8,Distributor_003,Truck,8842,9,2019-03-18 07:13:59
SC004,Subcomponent SC004,subcomponent,CP004,5,14,21407,Supplier_029,34,4,1,Distributor_003,Rail,2112,4,2020-11-28 18:53:36
SY012,System SY012,system,FP018,1,105,2473717,Supplier_018,2,1,4,Distributor_011,Truck,1572,13,2011-12-16 20:44:53
SS020,Subsystem SS020,subsystem,SY017,2,62,583111,Supplier_033,7,1,6,Distributor_013,Air Freight,8817,16,2012-03-17 07:24:46
CP018,Component CP018,component,SS020,2,21,395880,Supplier_010,7,5,39,Distributor_007,Rail,3337,4,2018-09-08 14:10:36
SC003,Subcomponent SC003,subcomponent,CP007,3,7,27378,Supplier_043,40,2,59,Distributor_005,Truck,2759,23,2017-03-19 07:58:55
SC010,Subcomponent SC010,subcomponent,CP002,1,16,19118,Supplier_016,37,5,53,Distributor_009,Truck,3197,15,2012-10-05 02:10:28
RM004,Raw_material RM004,raw_material,CP002,3,1,4729,Supplier_042,107,3,9,Distributor_005,Truck,3300,11,2015-02-17 20:04:35
SC002,Subcomponent SC002,subcomponent,CP018,2,16,14586,Supplier_023,31,4,61,Distributor_010,Truck,3637,15,2013-07-06 13:01:20
CP005,Component CP005,component,SS014,5,38,370276,Supplier_001,35,4,39,Distributor_010,Truck,7962,20,2018-12-07 12:40:15
SC010,Subcomponent SC010,subcomponent,CP010,5,12,37868,Supplier_015,32,1,15,Distributor_011,Rail,5865,6,2017-09-30 01:32:25
SC019,Subcomponent SC019,subcomponent,CP005,5,10,31704,Supplier_028,39,1,2,Distributor_011,Sea Freight,9303,25,2018-08-03 21:05:05
RM017,Raw_material RM017,raw_material,CP005,4,7,2794,Supplier_022,83,1,49,Distributor_001,Sea Freight,5968,6,2014-07-25 22:31:45
CP014,Component CP014,component,SS020,3,40,399313,Supplier_036,19,5,37,Distributor_002,Sea Freight,6197,22,2014-05-31 08:03:48
SC020,Subcomponent SC020,subcomponent,CP014,4,15,21251,Supplier_021,31,5,12,Distributor_007,Air Freight,6941,6,2015-05-08 03:28:08
SS014,Subsystem SS014,subsystem,SY016,5,55,1031671,Supplier_013,13,2,8,Distributor_008,Rail,1863,11,2014-11-06 11:53:26
CP003,Component CP003,component,SS020,5,20,205738,Supplier_009,20,2,0,Distributor_002,Air Freight,2570,4,2016-12-22 03:58:29
SC008,Subcomponent SC008,subcomponent,CP013,5,14,5258,Supplier_044,39,4,23,Distributor_014,Sea Freight,9776,27,2017-09-19 13:49:06
SC011,Subcomponent SC011,subcomponent,CP003,5,17,25203,Supplier_032,17,4,52,Distributor_009,Rail,6032,9,2015-03-31 09:42:46
CP013,Component CP013,component,SS014,3,41,419124,Supplier_012,20,1,29,Distributor_011,Air Freight,4818,13,2014-11-14 16:31:17
SC015,Subcomponent SC015,subcomponent,CP013,5,16,16454,Supplier_028,45,5,32,Distributor_006,Air Freight,2439,20,2017-08-06 15:42:12
SS005,Subsystem SS005,subsystem,SY012,5,44,1633169,Supplier_007,14,1,7,Distributor_010,Truck,9073,2,2017-08-14 07:12:56
CP017,Component CP017,component,SS005,4,15,95237,Supplier_010,24,2,39,Distributor_012,Air Freight,1549,27,2020-09-14 15:27:38
SC008,Subcomponent SC008,subcomponent,CP017,2,12,28986,Supplier_029,21,2,68,Distributor_010,Sea Freight,1608,15,2020-08-05 08:00:32
RM004,Raw_material RM004,raw_material,CP017,2,1,1339,Supplier_011,95,5,63,Distributor_003,Truck,5905,6,2013-03-26 12:17:06
SY016,System SY016,system,FP005,4,69,5015101,Supplier_035,4,5,6,Distributor_005,Air Freight,1310,15,2012-11-27 09:34:58
SS016,Subsystem SS016,subsystem,SY002,3,87,1112281,Supplier_022,6,4,70,Distributor_008,Sea Freight,4363,7,2013-01-21 12:56:24
CP019,Component CP019,component,SS007,2,38,156544,Supplier_016,22,4,16,Distributor_013,Air Freight,1143,2,2012-10-03 07:18:08
SC003,Subcomponent SC003,subcomponent,CP008,5,16,22999,Supplier_011,42,1,51,Distributor_003,Sea Freight,3944,26,2013-12-27 06:37:55
SC005,Subcomponent SC005,subcomponent,CP002,4,9,15575,Supplier_005,51,3,37,Distributor_011,Air Freight,9522,22,2015-08-04 05:05:59
SC002,Subcomponent SC002,subcomponent,CP019,5,7,31172,Supplier_023,54,4,70,Distributor_011,Rail,5770,11,2011-12-29 00:01:20
CP018,Component CP018,component,SS009,3,26,351485,Supplier_018,17,2,55,Distributor_004,Air Freight,8773,5,2016-03-02 14:30:11
SC015,Subcomponent SC015,subcomponent,CP003,5,11,24215,Supplier_030,27,4,14,Distributor_004,Truck,7178,9,2011-04-04 07:57:30
RM015,Raw_material RM015,raw_material,CP003,1,2,5287,Supplier_010,80,1,44,Distributor_014,Truck,4284,25,2016-02-08 05:54:45
SC016,Subcomponent SC016,subcomponent,CP018,5,11,43124,Supplier_034,60,2,14,Distributor_008,Truck,2934,28,2010-07-01 02:42:28
CP009,Component CP009,component,SS016,1,18,433166,Supplier_012,34,2,57,Distributor_010,Rail,6702,23,2020-05-12 07:52:49
SC015,Subcomponent SC015,subcomponent,CP009,5,7,15931,Supplier_041,23,3,22,Distributor_005,Truck,222,28,2020-07-10 19:29:32
SS008,Subsystem SS008,subsystem,SY007,1,41,1555103,Supplier_009,17,2,6,Distributor_014,Truck,7260,19,2017-08-13 06:45:24
CP010,Component CP010,component,SS013,2,40,110203,Supplier_001,25,2,40,Distributor_002,Rail,7162,23,2012-12-20 02:28:25
SC002,Subcomponent SC002,subcomponent,CP016,2,13,7526,Supplier_028,51,3,20,Distributor_010,Rail,6749,5,2018-03-20 20:12:08
RM020,Raw_material RM020,raw_material,CP016,1,8,4479,Supplier_041,114,2,37,Distributor_005,Rail,6448,29,2010-11-07 02:39:55
SC004,Subcomponent SC004,subcomponent,CP010,4,13,25228,Supplier_032,34,3,44,Distributor_008,Truck,595,7,2015-11-12 23:05:57
CP007,Component CP007,component,SS008,5,43,481660,Supplier_006,30,1,17,Distributor_008,Sea Freight,763,24,2016-05-22 08:55:33
SC002,Subcomponent SC002,subcomponent,CP007,4,16,8400,Supplier_039,54,1,31,Distributor_006,Truck,7758,29,2015-09-09 22:00:35
SS009,Subsystem SS009,subsystem,SY016,3,75,900087,Supplier_015,8,1,53,Distributor_012,Sea Freight,4817,8,2020-01-23 13:21:41
CP019,Component CP019,component,SS009,1,15,99422,Supplier_015,13,4,56,Distributor_008,Truck,3523,5,2015-12-22 10:08:46
SC015,Subcomponent SC015,subcomponent,CP019,3,9,35894,Supplier_002,25,2,67,Distributor_001,Air Freight,635,25,2011-11-18 14:06:58
SY005,System SY005,system,FP004,2,122,1826873,Supplier_011,2,3,27,Distributor_009,Air Freight,3914,26,2014-05-27 18:07:44
SS001,Subsystem SS001,subsystem,SY018,3,55,1687341,Supplier_003,14,1,56,Distributor_005,Sea Freight,4578,5,2018-09-11 09:52:35
CP019,Component CP019,component,SS005,3,40,503788,Supplier_043,17,4,53,Distributor_010,Sea Freight,7923,11,2012-10-01 08:01:21
SC006,Subcomponent SC006,subcomponent,CP003,5,14,32711,Supplier_020,34,2,13,Distributor_014,Rail,5827,22,2012-10-01 17:21:33
SC016,Subcomponent SC016,subcomponent,CP006,4,16,40179,Supplier_024,49,3,20,Distributor_014,Rail,6749,5,2011-04-01 15:49:16
SC020,Subcomponent SC020,subcomponent,CP019,2,8,7387,Supplier_003,45,5,50,Distributor_010,Rail,4095,19,2014-04-20 16:31:01
CP009,Component CP009,component,SS011,3,27,278982,Supplier_011,19,5,37,Distributor_013,Rail,6884,28,2011-01-06 21:10:12
SC014,Subcomponent SC014,subcomponent,CP013,1,11,50902,Supplier_001,39,3,0,Distributor_010,Rail,4435,22,2011-08-03 16:30:05
SC016,Subcomponent SC016,subcomponent,CP009,4,7,22426,Supplier_011,20,4,27,Distributor_014,Air Freight,3134,16,2013-08-16 23:24:16
CP018,Component CP018,component,SS001,5,35,286391,Supplier_013,30,2,32,Distributor_004,Rail,6562,27,2019-05-24 14:32:44
SC001,Subcomponent SC001,subcomponent,CP018,1,14,17819,Supplier_029,31,3,72,Distributor_005,Sea Freight,3285,8,2018-12-20 01:30:02
SS004,Subsystem SS004,subsystem,SY016,4,57,770850,Supplier_018,18,5,49,Distributor_011,Truck,2176,27,2017-12-28 14:03:05
CP008,Component CP008,component,SS016,2,26,109702,Supplier_003,27,1,35,Distributor_002,Sea Freight,1446,19,2010-04-17 00:42:04
SC008,Subcomponent SC008,subcomponent,CP001,1,14,30264,Supplier_008,31,1,9,Distributor_006,Sea Freight,6589,24,2013-10-26 19:26:10
SC018,Subcomponent SC018,subcomponent,CP008,4,7,53850,Supplier_032,49,4,43,Distributor_005,Truck,3453,9,2016-12-16 16:15:53
CP017,Component CP017,component,SS004,3,36,111738,Supplier_018,16,2,45,Distributor_005,Sea Freight,1560,6,2014-05-27 03:13:04
SC015,Subcomponent SC015,subcomponent,CP017,3,13,54213,Supplier_025,48,4,32,Distributor_005,Air Freight,3424,25,2010-10-30 17:30:35
SS011,Subsystem SS011,subsystem,SY005,2,37,817376,Supplier_036,3,2,50,Distributor_008,Sea Freight,8921,22,2020-01-26 06:06:38
CP013,Component CP013,component,SS011,3,22,195194,Supplier_038,24,2,66,Distributor_013,Rail,4993,3,2011-07-06 00:38:40
SC008,Subcomponent SC008,subcomponent,CP013,3,5,10514,Supplier_004,16,2,41,Distributor_011,Air Freight,1067,10,2012-05-06 07:05:15
SY015,System SY015,system,FP002,1,111,8530534,Supplier_044,3,1,0,Distributor_004,Truck,7436,20,2014-09-23 05:04:02
SS012,Subsystem SS012,subsystem,SY010,5,77,610528,Supplier_005,17,5,15,Distributor_004,Rail,726,4,2015-01-09 09:37:12
CP010,Component CP010,component,SS002,3,34,501002,Supplier_028,24,1,61,Distributor_006,Air Freight,8474,23,2010-12-13 14:38:46
SC016,Subcomponent SC016,subcomponent,CP018,5,13,48971,Supplier_037,21,3,53,Distributor_014,Truck,1482,10,2015-08-12 11:08:55
RM005,Raw_material RM005,raw_material,CP018,3,2,972,Supplier_025,64,3,33,Distributor_014,Air Freight,8373,22,2021-08-26 08:21:45
SC003,Subcomponent SC003,subcomponent,CP002,1,9,9780,Supplier_009,23,4,24,Distributor_014,Truck,3613,20,2017-11-25 02:57:15
RM013,Raw_material RM013,raw_material,CP002,1,4,1399,Supplier_025,80,3,55,Distributor_008,Air Freight,4279,21,2010-06-27 20:27:16
SC005,Subcomponent SC005,subcomponent,CP010,4,11,49145,Supplier_016,23,4,62,Distributor_004,Rail,4258,18,2020-08-15 22:15:40
CP018,Component CP018,component,SS007,3,15,77242,Supplier_003,19,2,32,Distributor_012,Sea Freight,2841,19,2010-08-17 12:28:18
SC017,Subcomponent SC017,subcomponent,CP020,3,18,18987,Supplier_043,51,2,17,Distributor_012,Air Freight,838,23,2015-07-30 23:13:08
SC002,Subcomponent SC002,subcomponent,CP009,5,16,31274,Supplier_036,37,2,38,Distributor_001,Rail,8916,4,2012-04-02 08:35:51
SC008,Subcomponent SC008,subcomponent,CP018,1,12,5538,Supplier_013,46,2,15,Distributor_007,Air Freight,1141,2,2021-03-12 09:56:16
CP012,Component CP012,component,SS018,1,46,471231,Supplier_036,35,1,26,Distributor_011,Rail,8932,7,2012-04-15 20:46:59
SC012,Subcomponent SC012,subcomponent,CP003,3,19,36942,Supplier_019,29,4,27,Distributor_009,Rail,5424,17,2015-03-18 00:43:47
RM013,Raw_material RM013,raw_material,CP003,5,8,3843,Supplier_044,71,1,17,Distributor_004,Sea Freight,4502,28,2013-08-30 21:42:54
SC012,Subcomponent SC012,subcomponent,CP012,4,9,52320,Supplier_034,24,2,0,Distributor_005,Truck,8019,24,2017-06-17 15:02:37
RM002,Raw_material RM002,raw_material,CP012,1,9,2141,Supplier_004,106,3,68,Distributor_003,Rail,6535,8,2013-02-07 13:35:18
CP018,Component CP018,component,SS012,2,38,133394,Supplier_001,22,2,14,Distributor_002,Sea Freight,5650,15,2015-02-26 17:12:32
SC009,Subcomponent SC009,subcomponent,CP018,3,10,40082,Supplier_007,42,5,26,Distributor_005,Truck,2856,24,2013-11-19 06:58:55
RM001,Raw_material RM001,raw_material,CP018,3,6,1447,Supplier_039,80,4,3,Distributor_006,Truck,6056,1,2020-09-13 08:19:07
SS005,Subsystem SS005,subsystem,SY001,1,48,1765259,Supplier_014,9,5,58,Distributor_008,Air Freight,8399,4,2017-05-22 09:41:30
CP016,Component CP016,component,SS003,2,43,344203,Supplier_013,19,1,47,Distributor_013,Air Freight,7174,10,2013-07-27 23:07:24
SC019,Subcomponent SC019,subcomponent,CP003,2,11,47902,Supplier_024,36,1,52,Distributor_003,Rail,4334,15,2014-03-30 20:51:58
SC015,Subcomponent SC015,subcomponent,CP012,4,10,33668,Supplier_016,33,1,16,Distributor_001,Rail,3607,11,2011-09-22 01:36:50
SC019,Subcomponent SC019,subcomponent,CP016,4,17,18577,Supplier_006,55,5,44,Distributor_002,Truck,1225,11,2014-11-09 21:00:02
RM009,Raw_material RM009,raw_material,CP016,2,9,487,Supplier_029,68,2,33,Distributor_014,Air Freight,1085,1,2016-11-16 15:44:36
CP020,Component CP020,component,SS004,2,18,280651,Supplier_012,19,3,47,Distributor_002,Truck,9228,15,2018-01-17 08:36:29
SC004,Subcomponent SC004,subcomponent,CP005,3,8,20774,Supplier_017,57,3,5,Distributor_014,Rail,293,2,2011-10-08 07:06:45
SC012,Subcomponent SC012,subcomponent,CP020,1,7,14572,Supplier_027,41,1,60,Distributor_010,Rail,1803,24,2015-07-03 03:09:49
RM005,Raw_material RM005,raw_material,CP020,1,2,1023,Supplier_012,79,4,56,Distributor_007,Truck,1272,27,2019-06-01 12:51:04
CP003,Component CP003,component,SS005,2,15,426280,Supplier_004,35,4,71,Distributor_008,Air Freight,9939,19,2013-08-05 01:03:11
SC017,Subcomponent SC017,subcomponent,CP003,5,16,50426,Supplier_010,33,1,19,Distributor_005,Truck,1322,18,2021-04-23 02:42:51
RM009,Raw_material RM009,raw_material,CP003,5,9,3536,Supplier_043,110,3,71,Distributor_013,Air Freight,9323,5,2017-02-19 05:23:48
SS018,Subsystem SS018,subsystem,SY016,5,61,727681,Supplier_016,10,4,0,Distributor_010,Air Freight,7158,9,2019-04-09 08:36:36
CP010,Component CP010,component,SS006,3,19,496010,Supplier_038,16,3,57,Distributor_002,Rail,2219,2,2014-04-05 19:01:56
SC013,Subcomponent SC013,subcomponent,CP004,1,21,23100,Supplier_041,50,5,3,Distributor_002,Rail,986,20,2018-09-18 11:31:41
SC008,Subcomponent SC008,subcomponent,CP010,4,9,20655,Supplier_040,27,5,4,Distributor_012,Air Freight,2308,27,2016-01-24 18:55:37
RM006,Raw_material RM006,raw_material,CP010,5,2,5042,Supplier_039,77,4,69,Distributor_005,Rail,1876,22,2010-02-06 00:48:14
CP018,Component CP018,component,SS018,4,35,369064,Supplier_021,18,4,16,Distributor_005,Air Freight,2377,2,2011-10-27 00:38:30
SC001,Subcomponent SC001,subcomponent,CP018,4,11,43295,Supplier_008,35,4,34,Distributor_013,Truck,6625,30,2015-03-29 23:33:24
SS014,Subsystem SS014,subsystem,SY015,1,60,906487,Supplier_006,18,1,8,Distributor_007,Rail,2486,6,2016-07-11 23:10:10
